id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q2550683,Governor of Oklahoma,Q30,Q1649,Q1853541,Q887344,1907-11-16,,,,Governor of Oklahoma
Q1853541,Lieutenant Governor of Oklahoma,Q30,Q1649,,,1907,,,,Lieutenant Governor of Oklahoma
Q7082303,Oklahoma Secretary of Agriculture,Q30,Q1649,,,1986-06-06,,,,Oklahoma Secretary of Agriculture
Q7082304,Oklahoma Secretary of Commerce and Tourism,Q30,Q1649,,,2003-02-01,,,,Oklahoma Secretary of Commerce and Tourism
Q108133313,Oklahoma Secretary of Commerce and Workforce Development,Q30,Q1649,,,,,,,
Q108133331,Secretary of Digital Transformation and Administration,Q30,Q1649,,,,,,,
Q108133324,Secretary of Economic Administration,Q30,Q1649,,,,,,,
Q7082305,Oklahoma Secretary of Education,,Q1649,,,1986-06-06,,,,Oklahoma Secretary of Education
Q7082307,Oklahoma Secretary of Energy,,Q1649,,,1986-06-06,,,,Oklahoma Secretary of Energy
Q16148033,Oklahoma Secretary of Health,,Q1649,,,2003,,,,Oklahoma Secretary of Health
Q7082312,Oklahoma Secretary of Human Services,Q30,Q1649,,,2003,,,,Oklahoma Secretary of Human Services
Q108133199,Oklahoma Secretary of Licensing and Regulation,Q30,Q1649,,,,,,,
Q108133291,Oklahoma Secretary of Public Safety,Q30,Q1649,,,,,,,
Q108133328,Secretary of Science and Innovation,Q30,Q1649,,,,,,,
Q7082313,Oklahoma Secretary of Science and Technology,Q30,Q1649,,,1998-09-04,,,,Oklahoma Secretary of Science and Technology
Q7082315,Oklahoma Secretary of State,Q30,Q1649,,,1907,,,,Oklahoma Secretary of State
Q7082317,Oklahoma Secretary of Transportation,Q30,Q1649,,,1986-06-06,,,,Oklahoma Secretary of Transportation
Q7082316,Oklahoma Secretary of Veterans Affairs,,Q1649,,,1986-06-06,,,,Oklahoma Secretary of Veterans Affairs
Q4683225,Adjutant General of Oklahoma,,Q1649,,,,,,,Adjutant General of Oklahoma
Q4818646,Attorney General of Oklahoma,Q30,Q1649,,,1907-11-17,,,,Attorney General of Oklahoma
Q108133355,Oklahoma Chief Operating Officer,Q30,Q1649,,,,,,,
